Java HotSpot(TM) 64-Bit Server VM (25.271-b09) for windows-amd64 JRE (1.8.0_271-b09), built on Sep 16 2020 19:14:59 by "" with MS VC++ 15.9 (VS2017)
Memory: 4k page, physical 16671324k(5759284k free), swap 19161692k(4430460k free)
CommandLine flags: -XX:-BytecodeVerificationLocal -XX:-BytecodeVerificationRemote -XX:InitialHeapSize=266741184 -XX:+ManagementServer -XX:MaxHeapSize=4267858944 -XX:+PrintGC -XX:+PrintGCTimeStamps -XX:TieredStopAtLevel=1 -XX:+UnlockCommercialFeatures -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:-UseLargePagesIndividualAllocation -XX:+UseParallelGC 
2.336: [GC (Allocation Failure)  65536K->6070K(251392K), 0.0130658 secs]
3.303: [GC (Allocation Failure)  71606K->9603K(251392K), 0.0119634 secs]
3.713: [GC (Allocation Failure)  75139K->7643K(251392K), 0.0115213 secs]
4.079: [GC (Metadata GC Threshold)  41067K->9065K(316928K), 0.0162853 secs]
4.095: [Full GC (Metadata GC Threshold)  9065K->8853K(246272K), 0.0749216 secs]
5.566: [GC (Allocation Failure)  139925K->20248K(246272K), 0.0125811 secs]
6.468: [GC (Allocation Failure)  151320K->21706K(312832K), 0.0156703 secs]
6.616: [GC (Metadata GC Threshold)  47722K->19987K(314368K), 0.0124924 secs]
6.629: [Full GC (Metadata GC Threshold)  19987K->16893K(360960K), 0.0699351 secs]
8.961: [GC (Allocation Failure)  212989K->37865K(468992K), 0.0234594 secs]
10.910: [GC (Metadata GC Threshold)  259572K->47463K(484864K), 0.0241272 secs]
10.934: [Full GC (Metadata GC Threshold)  47463K->37650K(555520K), 0.2120157 secs]
506.022: [GC (Allocation Failure)  353042K->44496K(616448K), 0.0132119 secs]
1101.632: [GC (Allocation Failure)  429520K->40834K(629248K), 0.0084324 secs]
1519.726: [GC (Allocation Failure)  425858K->40682K(674304K), 0.0069121 secs]
2643.697: [GC (Allocation Failure)  483050K->44259K(655360K), 0.0100651 secs]
2805.511: [GC (Allocation Failure)  471267K->44475K(641024K), 0.0088653 secs]
3145.738: [GC (Allocation Failure)  456635K->44499K(626688K), 0.0071418 secs]
3211.316: [GC (Allocation Failure)  442323K->44779K(613376K), 0.0070968 secs]
